HE550A	540.00	300.00	24.00	12.50	27.00	21200.00	3600000.00	1119000000.00	108200000.00	6750.00	12000.00	4144444.00	721333.00	4622000.00	1107000.00	229.75	71.44
HE600A	590.00	300.00	25.00	13.00	27.00	22600.00	4070000.00	1412000000.00	112700000.00	7670.00	12500.00	4786441.00	751333.00	5350000.00	1156000.00	249.96	70.62
HE650A	640.00	300.00	26.00	13.50	27.00	24200.00	4580000.00	1752000000.00	117200000.00	8640.00	13000.00	5475000.00	781333.00	6136000.00	1205000.00	269.07	69.59
HE700A	690.00	300.00	27.00	14.50	27.00	26000.00	5220000.00	2153000000.00	121800000.00	10005.00	13500.00	6240580.00	812000.00	7032000.00	1257000.00	287.76	68.44
HE800A	790.00	300.00	28.00	15.00	30.00	28600.00	6090000.00	3034000000.00	126400000.00	11850.00	14000.00	7681013.00	842667.00	8699000.00	1312000.00	325.71	66.48
HE900A	890.00	300.00	30.00	16.00	30.00	32100.00	7490000.00	4221000000.00	135500000.00	14240.00	15000.00	9485393.00	903333.00	10810000.00	1414000.00	362.62	64.97
HE1000A	990.00	300.00	31.00	16.50	30.00	34700.00	8350000.00	5538000000.00	140000000.00	16335.00	15500.00	11187879.00	933333.00	12820000.00	1470000.00	399.50	63.52
HE100B	100.00	100.00	10.00	6.00	12.00	2600.00	93300.00	4500000.00	1670000.00	600.00	1667.00	90000.00	33400.00	104000.00	51400.00	41.60	25.34
HE120B	120.00	120.00	11.00	6.50	12.00	3400.00	139000.00	8640000.00	3180000.00	780.00	2200.00	144000.00	53000.00	165000.00	81000.00	50.41	30.58
HE140B	140.00	140.00	12.00	7.00	12.00	4300.00	202000.00	15090000.00	5500000.00	980.00	2800.00	215571.00	78571.00	245000.00	120000.00	59.24	35.76
HE160B	160.00	160.00	13.00	8.00	15.00	5430.00	313000.00	24920000.00	8890000.00	1280.00	3467.00	311500.00	111125.00	354000.00	170000.00	67.74	40.46
HE180B	180.00	180.00	14.00	8.50	15.00	6530.00	422000.00	38310000.00	13630000.00	1530.00	4200.00	425667.00	151444.00	481000.00	231000.00	76.59	45.69
HE200B	200.00	200.00	15.00	9.00	18.00	7810.00	597000.00	56960000.00	20030000.00	1800.00	5000.00	569600.00	200300.00	643000.00	306000.00	85.40	50.64
HE220B	220.00	220.00	16.00	9.50	18.00	9100.00	770000.00	80910000.00	28430000.00	2090.00	5867.00	735545.00	258455.00	827000.00	394000.00	94.29	55.89
HE240B	240.00	240.00	17.00	10.00	21.00	10600.00	1040000.00	112600000.00	39230000.00	2400.00	6800.00	938333.00	326917.00	1053000.00	498000.00	103.07	60.84
HE260B	260.00	260.00	17.50	10.00	24.00	11800.00	1270000.00	149200000.00	51350000.00	2600.00	7583.00	1147692.00	395000.00	1283000.00	602000.00	112.45	65.97
HE280B	280.00	280.00	18.00	10.50	24.00	13100.00	1460000.00	192700000.00	65950000.00	2940.00	8400.00	1376429.00	471071.00	1534000.00	718000.00	121.28	70.95
HE300B	300.00	300.00	19.00	11.00	27.00	14900.00	1890000.00	251700000.00	85630000.00	3300.00	9500.00	1678000.00	570867.00	1869000.00	870000.00	129.97	75.81
HE320B	320.00	300.00	20.50	11.50	27.00	16100.00	2300000.00	308200000.00	92390000.00	3680.00	10250.00	1926250.00	615933.00	2149000.00	939000.00	138.36	75.75
HE340B	340.00	300.00	21.50	12.00	27.00	17100.00	2630000.00	366600000.00	96900000.00	4080.00	10750.00	2156471.00	646000.00	2408000.00	986000.00	146.42	75.28
HE360B	360.00	300.00	22.50	12.50	27.00	18100.00	2980000.00	431900000.00	101400000.00	4500.00	11250.00	2399444.00	676000.00	2683000.00	1032000.00	154.47	74.85
HE400B	400.00	300.00	24.00	13.50	27.00	19800.00	3610000.00	576800000.00	108200000.00	5400.00	12000.00	2884000.00	721333.00	3232000.00	1104000.00	170.68	73.92
